ROI name,Selected
MNI_Cingulum_Ant_L_roi.mat,1
MNI_Cingulum_Ant_R_roi.mat,1
MNI_Amygdala_L_roi.mat,1
MNI_Amygdala_R_roi.mat,1
MNI_Angular_L_roi.mat,1
MNI_Angular_R_roi.mat,1
MNI_Cerebelum_10_L_roi.mat,0
MNI_Cerebelum_10_R_roi.mat,0
MNI_Cerebelum_3_L_roi.mat,0
MNI_Cerebelum_3_R_roi.mat,0
MNI_Cerebelum_4_5_L_roi.mat,0
MNI_Cerebelum_4_5_R_roi.mat,0
MNI_Cerebelum_6_L_roi.mat,0
MNI_Cerebelum_6_R_roi.mat,0
MNI_Cerebelum_7b_L_roi.mat,0
MNI_Cerebelum_7b_R_roi.mat,0
MNI_Cerebelum_8_L_roi.mat,0
MNI_Cerebelum_8_R_roi.mat,0
MNI_Cerebelum_9_L_roi.mat,0
MNI_Cerebelum_9_R_roi.mat,0
MNI_Calcarine_L_roi.mat,0
MNI_Calcarine_R_roi.mat,0
MNI_Caudate_L_roi.mat,1
MNI_Caudate_R_roi.mat,1
MNI_Cerebelum_Crus1_L_roi.mat,0
MNI_Cerebelum_Crus1_R_roi.mat,0
MNI_Cerebelum_Crus2_L_roi.mat,0
MNI_Cerebelum_Crus2_R_roi.mat,0
MNI_Cuneus_L_roi.mat,1
MNI_Cuneus_R_roi.mat,1
MNI_Cingulum_Mid_L_roi.mat,1
MNI_Cingulum_Mid_R_roi.mat,1
MNI_Fusiform_L_roi.mat,1
MNI_Fusiform_R_roi.mat,1
MNI_Heschl_L_roi.mat,0
MNI_Heschl_R_roi.mat,0
MNI_Hippocampus_L_roi.mat,1
MNI_Hippocampus_R_roi.mat,1
MNI_Frontal_Inf_Oper_L_roi.mat,1
MNI_Frontal_Inf_Oper_R_roi.mat,1
MNI_Frontal_Inf_Tri_L_roi.mat,1
MNI_Frontal_Inf_Tri_R_roi.mat,1
MNI_Insula_L_roi.mat,1
MNI_Insula_R_roi.mat,1
MNI_Occipital_Inf_L_roi.mat,1
MNI_Occipital_Inf_R_roi.mat,1
MNI_Parietal_Inf_L_roi.mat,1
MNI_Parietal_Inf_R_roi.mat,1
MNI_Temporal_Inf_L_roi.mat,1
MNI_Temporal_Inf_R_roi.mat,1
MNI_Lingual_L_roi.mat,1
MNI_Lingual_R_roi.mat,1
MNI_Frontal_Mid_L_roi.mat,1
MNI_Frontal_Mid_R_roi.mat,1
MNI_Occipital_Mid_L_roi.mat,0
MNI_Occipital_Mid_R_roi.mat,0
MNI_Temporal_Mid_L_roi.mat,1
MNI_Temporal_Mid_R_roi.mat,1
MNI_Olfactory_L_roi.mat,0
MNI_Olfactory_R_roi.mat,0
MNI_Frontal_Inf_Orb_L_roi.mat,1
MNI_Frontal_Inf_Orb_R_roi.mat,1
MNI_Frontal_Mid_Orb_L_roi.mat,1
MNI_Frontal_Mid_Orb_R_roi.mat,1
MNI_Frontal_Sup_Orb_L_roi.mat,1
MNI_Frontal_Sup_Orb_R_roi.mat,1
MNI_Frontal_Med_Orb_L_roi.mat,1
MNI_Frontal_Med_Orb_R_roi.mat,1
MNI_Cingulum_Post_L_roi.mat,1
MNI_Cingulum_Post_R_roi.mat,1
MNI_Paracentral_Lobule_L_roi.mat,0
MNI_Paracentral_Lobule_R_roi.mat,0
MNI_Precuneus_L_roi.mat,1
MNI_Precuneus_R_roi.mat,1
MNI_ParaHippocampal_L_roi.mat,1
MNI_ParaHippocampal_R_roi.mat,1
MNI_Postcentral_L_roi.mat,1
MNI_Postcentral_R_roi.mat,1
MNI_Precentral_L_roi.mat,1
MNI_Precentral_R_roi.mat,1
MNI_Putamen_L_roi.mat,1
MNI_Putamen_R_roi.mat,1
MNI_Rectus_L_roi.mat,0
MNI_Rectus_R_roi.mat,0
MNI_Rolandic_Oper_L_roi.mat,1
MNI_Rolandic_Oper_R_roi.mat,1
MNI_Frontal_Sup_L_roi.mat,1
MNI_Frontal_Sup_R_roi.mat,1
MNI_Frontal_Sup_Medial_L_roi.mat,1
MNI_Frontal_Sup_Medial_R_roi.mat,1
MNI_Supp_Motor_Area_L_roi.mat,0
MNI_Supp_Motor_Area_R_roi.mat,0
MNI_SupraMarginal_L_roi.mat,0
MNI_SupraMarginal_R_roi.mat,0
MNI_Occipital_Sup_L_roi.mat,0
MNI_Occipital_Sup_R_roi.mat,0
MNI_Parietal_Sup_L_roi.mat,1
MNI_Parietal_Sup_R_roi.mat,1
MNI_Temporal_Sup_L_roi.mat,1
MNI_Temporal_Sup_R_roi.mat,1
MNI_Thalamus_L_roi.mat,1
MNI_Thalamus_R_roi.mat,1
MNI_Temporal_Pole_Mid_L_roi.mat,1
MNI_Temporal_Pole_Mid_R_roi.mat,1
MNI_Temporal_Pole_Sup_L_roi.mat,1
MNI_Temporal_Pole_Sup_R_roi.mat,1
MNI_Vermis_10_roi.mat,0
MNI_Vermis_1_2_roi.mat,0
MNI_Vermis_3_roi.mat,0
MNI_Vermis_4_5_roi.mat,0
MNI_Vermis_6_roi.mat,0
MNI_Vermis_7_roi.mat,0
MNI_Vermis_8_roi.mat,0
MNI_Vermis_9_roi.mat,0
